# KSW Arabic — FULL master glossary / جدول المصطلحات العربية الكامل
# راجع عمود proposed_ar وعدّله مباشرة حيث تريد صيغة مختلفة، ثم أعد الملف.
# status: changed = قرار مُدار | matched-core = مطابق لترجمة Odoo الرسمية
#         changed (auto) = تنظيف تلقائي (إزالة تشكيل/توحيد مفهوم) | unchanged = يبقى كما هو
# source: labour-law/ksa-hr/sap-oracle/odoo-core/unify/auto/keep-current
# ملاحظة: العبارات الطويلة (تلميحات/مساعدة/رسائل) تُعالَج آلياً ولا تظهر هنا.
term_en,current_ar,proposed_ar,status,source,modules,note
<strong>Employee</strong>,<strong>الموظف</strong>,<strong>الموظف</strong>,unchanged,auto,"commissions,payroll,unpaid_leave",
<strong>End Date</strong>,<strong>تاريخ الانتهاء</strong>,<strong>تاريخ الانتهاء</strong>,unchanged,auto,payroll,
<strong>EOS — Resignation (Art. 85)</strong>,<strong>نهاية الخدمة — استقالة (المادة 85)</strong>,<strong>نهاية الخدمة — استقالة (المادة 85)</strong>,unchanged,auto,payroll,
<strong>EOS — Termination (Art. 84)</strong>,<strong>نهاية الخدمة — إنهاء عقد (المادة 84)</strong>,<strong>نهاية الخدمة — إنهاء عقد (المادة 84)</strong>,unchanged,auto,payroll,
<strong>Financial Consideration for Excess Leave</strong>,<strong>المقابل المالي للإجازة الزائدة</strong>,<strong>المقابل المالي للإجازة الزائدة</strong>,unchanged,auto,unpaid_leave,
<strong>Flight Ticket</strong>,<strong>تذكرة الطيران</strong>,<strong>تذكرة الطيران</strong>,unchanged,auto,unpaid_leave,
<strong>Full Clearance</strong>,<strong>تصفية كامل الرصيد</strong>,<strong>تصفية كامل الرصيد</strong>,unchanged,auto,unpaid_leave,
<strong>General Manager</strong>,<strong>المدير العام</strong>,<strong>المدير العام</strong>,unchanged,auto,"payroll,unpaid_leave",
<strong>Gross Total</strong>,<strong>الإجمالي قبل الخصم</strong>,<strong>الإجمالي قبل الخصم</strong>,unchanged,auto,commissions,
<strong>HR Manager</strong>,<strong>مدير الموارد البشرية</strong>,<strong>مدير الموارد البشرية</strong>,unchanged,auto,"payroll,unpaid_leave",
<strong>Iqama Renewal</strong>,<strong>تجديد الإقامة</strong>,<strong>تجديد الإقامة</strong>,unchanged,auto,unpaid_leave,
<strong>Job Position</strong>,<strong>المسمى الوظيفي</strong>,<strong>المسمى الوظيفي</strong>,unchanged,auto,commissions,
<strong>Job Title</strong>,<strong>المسمى الوظيفي</strong>,<strong>المسمى الوظيفي</strong>,unchanged,auto,payroll,
<strong>Joining Date</strong>,<strong>تاريخ الالتحاق</strong>,<strong>تاريخ الالتحاق</strong>,unchanged,auto,payroll,
<strong>Last Return Date</strong>,<strong>تاريخ آخر عودة</strong>,<strong>تاريخ آخر عودة</strong>,unchanged,auto,payroll,
<strong>Last Wage (SAR)</strong>,<strong>آخر راتب (ريال)</strong>,<strong>آخر راتب (ريال)</strong>,unchanged,auto,payroll,
<strong>Leave Manager</strong>,<strong>مدير الإجازة</strong>,<strong>مدير الإجازة</strong>,unchanged,auto,payroll,
<strong>Leave Nature</strong>,<strong>طبيعة الإجازة</strong>,<strong>طبيعة الإجازة</strong>,unchanged,auto,payroll,
<strong>Leave Type</strong>,<strong>نوع الإجازة</strong>,<strong>نوع الإجازة</strong>,unchanged,auto,"payroll,unpaid_leave",
<strong>Lines Subtotal</strong>,<strong>مجموع البنود</strong>,<strong>مجموع البنود</strong>,unchanged,auto,commissions,
<strong>Loans Deduction</strong>,<strong>خصم القروض</strong>,<strong>خصم القروض</strong>,unchanged,auto,commissions,
<strong>National / Iqama ID</strong>,<strong>الهوية الوطنية / الإقامة</strong>,<strong>الهوية الوطنية / الإقامة</strong>,unchanged,auto,payroll,
<strong>National ID</strong>,<strong>الهوية الوطنية</strong>,<strong>الهوية الوطنية</strong>,unchanged,auto,commissions,
<strong>Overall Status</strong>,<strong>الحالة الإجمالية</strong>,<strong>الحالة الإجمالية</strong>,unchanged,auto,payroll,
<strong>Penalty Amount</strong>,<strong>مبلغ الغرامة</strong>,<strong>مبلغ الغرامة</strong>,unchanged,auto,unpaid_leave,
<strong>Period</strong>,<strong>الفترة</strong>,<strong>الفترة</strong>,unchanged,auto,"commissions,payroll",
<strong>Reference</strong>,<strong>المرجع</strong>,<strong>المرجع</strong>,unchanged,keep-current,payroll,الأساسي «رقم الإشارة» — غير مناسب
<strong>Remaining Loans</strong>,<strong>القروض المتبقية</strong>,<strong>القروض المتبقية</strong>,unchanged,auto,unpaid_leave,
<strong>Request under review</strong>,<strong>الطلب قيد المراجعة</strong>,<strong>الطلب قيد المراجعة</strong>,unchanged,auto,deduction,
<strong>Return Date</strong>,<strong>تاريخ العودة</strong>,<strong>تاريخ العودة</strong>,unchanged,auto,payroll,
<strong>Return Status</strong>,<strong>حالة العودة</strong>,<strong>حالة العودة</strong>,unchanged,auto,payroll,
<strong>Service Years</strong>,<strong>سنوات الخدمة</strong>,<strong>سنوات الخدمة</strong>,unchanged,auto,payroll,
<strong>Site Manager</strong>,<strong>مدير الموقع</strong>,<strong>مدير الموقع</strong>,unchanged,auto,commissions,
<strong>Site</strong>,<strong>الموقع</strong>,<strong>الموقع</strong>,unchanged,auto,commissions,
<strong>Start Date</strong>,<strong>تاريخ البدء</strong>,<strong>تاريخ البدء</strong>,unchanged,auto,payroll,
<strong>Status</strong>,<strong>الحالة</strong>,<strong>الحالة</strong>,unchanged,auto,"commissions,payroll,unpaid_leave",
<strong>Step 1 — Loan Details</strong>,<strong>الخطوة 1 — تفاصيل القرض</strong>,<strong>الخطوة 1 — تفاصيل القرض</strong>,unchanged,auto,deduction,
<strong>Step 2 — Justification &amp; Documents</strong>,<strong>الخطوة 2 — المبرر والمستندات</strong>,<strong>الخطوة 2 — المبرر والمستندات</strong>,unchanged,auto,deduction,
<strong>Submit a new loan request</strong>,<strong>تقديم طلب قرض جديد</strong>,<strong>تقديم طلب قرض جديد</strong>,unchanged,auto,deduction,
<strong>Summary</strong>,<strong>الملخص</strong>,<strong>الملخص</strong>,unchanged,auto,deduction,
<strong>Supervisor</strong>,<strong>المشرف</strong>,<strong>المشرف</strong>,unchanged,auto,commissions,
<strong>Total Calendar Days</strong>,<strong>إجمالي الأيام التقويمية</strong>,<strong>إجمالي الأيام التقويمية</strong>,unchanged,auto,unpaid_leave,
<strong>Visa Cost Recovery for Excess Leave</strong>,<strong>استرداد تكلفة التأشيرة للإجازة الزائدة</strong>,<strong>استرداد تكلفة التأشيرة للإجازة الزائدة</strong>,unchanged,auto,unpaid_leave,
<strong>⚠ No Record</strong>,<strong>⚠ لا سجل</strong>,<strong>⚠ لا سجل</strong>,unchanged,auto,attendance_report,
<strong>⛔ Loan Request Refused</strong>,<strong>⛔ تم رفض طلب القرض</strong>,<strong>⛔ تم رفض طلب القرض</strong>,unchanged,auto,deduction,
<strong>✓ Present Days</strong>,<strong>✓ أيام الحضور</strong>,<strong>✓ أيام الحضور</strong>,unchanged,auto,attendance_report,
<strong>✗ Absent Days</strong>,<strong>✗ أيام الغياب</strong>,<strong>✗ أيام الغياب</strong>,unchanged,auto,attendance_report,
<strong>⬛ Weekend (Worked)</strong>,<strong>⬛ نهاية أسبوع (عمل)</strong>,<strong>⬛ نهاية أسبوع (عمل)</strong>,unchanged,auto,attendance_report,
<strong>⬜ Weekend Days</strong>,<strong>⬜ أيام نهاية الأسبوع</strong>,<strong>⬜ أيام نهاية الأسبوع</strong>,unchanged,auto,attendance_report,
<strong>🏖 Leave Days</strong>,<strong>🏖 أيام الإجازة</strong>,<strong>🏖 أيام الإجازة</strong>,unchanged,auto,attendance_report,
___________________________,___________________________,___________________________,unchanged,auto,unpaid_leave,
Absence-Only Deduction,خصم الغياب فقط,خصم الغياب فقط,unchanged,auto,payroll,
Absent (Net),غائب (صافي),غائب (صافي),unchanged,auto,attendance_leave,
Absent Days,أيام الغياب,أيام الغياب,unchanged,auto,attendance_leave,
ACC Approved By,اعتمدته المحاسبة,اعتمدته المحاسبة,unchanged,auto,annual_leave,
Acc Approved By,اعتمدته المحاسبة,اعتمدته المحاسبة,unchanged,auto,deduction,
Acc Approved Date,تاريخ اعتماد المحاسبة,تاريخ اعتماد المحاسبة,unchanged,auto,deduction,
ACC Approved On,تاريخ اعتماد المحاسبة,تاريخ اعتماد المحاسبة,unchanged,auto,annual_leave,
Acc Original Amount,المبلغ الأصلي (المحاسبة),المبلغ الأصلي (المحاسبة),unchanged,auto,deduction,
Acc Original Installments,الأقساط الأصلية (المحاسبة),الأقساط الأصلية (المحاسبة),unchanged,auto,deduction,
Accept Excess as Unpaid,قبول الزيادة كإجازة بدون أجر,قبول الزيادة كإجازة بدون أجر,unchanged,auto,annual_leave,
Accepted (min),مقبول (دقيقة),مقبول (دقيقة),unchanged,auto,attendance_leave,
Account Code,رمز الحساب,رمز الحساب,unchanged,auto,ext_sync,
Accountant,المحاسب,المحاسب,unchanged,auto,commissions,
Accounting Approval,اعتماد المحاسبة,اعتماد المحاسبة,unchanged,auto,deduction,
Accounting Inputs,مدخلات المحاسبة,مدخلات المحاسبة,unchanged,auto,unpaid_leave,
Accrual,الاستحقاق,الاستحقاق,unchanged,auto,annual_leave,
Activate Card - تنشيط البطاقة,تنشيط البطاقة,تنشيط البطاقة,unchanged,auto,payroll,
Actual,الفعلي,الفعلي,unchanged,auto,commissions,
Actual Days Away,أيام الغياب الفعلية,أيام الغياب الفعلية,unchanged,auto,annual_leave,
Actual Trips,الرحلات الفعلية,الرحلات الفعلية,unchanged,auto,commissions,
Actual Vacation Days,أيام الإجازة الفعلية,أيام الإجازة الفعلية,unchanged,auto,annual_leave,
Additional Commissions,عمولات إضافية,عمولات إضافية,unchanged,auto,payroll,
Additional Commissions Detail,تفاصيل العمولات الإضافية,تفاصيل العمولات الإضافية,unchanged,auto,annual_leave,
Adjusted EOS — Resignation (Art. 85),مكافأة الاستقالة المعدلة (المادة 85),مكافأة الاستقالة المعدلة (المادة 85),unchanged,auto,eos_leave,
Adjusted EOS — Termination (Art. 84),مكافأة الإنهاء المعدلة (المادة 84),مكافأة الإنهاء المعدلة (المادة 84),unchanged,auto,eos_leave,
Adjusted Service Years,سنوات الخدمة المعدلة,سنوات الخدمة المعدلة,unchanged,auto,eos_leave,
Admin,مسؤول النظام,مسؤول النظام,unchanged,auto,commissions,
Affected Month(s),الشهر (الأشهر) المتأثرة,الشهر (الأشهر) المتأثرة,unchanged,auto,annual_leave,
All banks – Excel files,جميع البنوك – ملفات إكسل,جميع البنوك – ملفات إكسل,unchanged,auto,"commissions,payroll",
All banks – Text files,جميع البنوك – ملفات نصية,جميع البنوك – ملفات نصية,unchanged,auto,payroll,
All banks – Text files (Kawthar),جميع البنوك – ملفات نصية (الكوثر),جميع البنوك – ملفات نصية (الكوثر),unchanged,auto,commissions,
All Deductions,جميع الخصومات,جميع الخصومات,unchanged,auto,deduction,
All Sheets,كل الكشوف,كل الكشوف,unchanged,auto,commissions,
Allowance &amp; Commission Lines,بنود البدلات والعمولات,بنود البدلات والعمولات,unchanged,auto,commissions,
Allowances,البدلات,البدلات,unchanged,auto,payroll,
Allowances & Loans,البدلات والقروض,البدلات والقروض,unchanged,auto,annual_leave,
Allowances &amp; Commissions,البدلات والعمولات,البدلات والعمولات,unchanged,auto,commissions,
Allowed Country State,الولاية/المحافظة المسموح بها,الولاية/المحافظة المسموح بها,unchanged,auto,base_security,
Amount (SAR),المبلغ (ريال),المبلغ (ريال),unchanged,auto,"payroll,unpaid_leave",
Amount Formula,صيغة المبلغ,صيغة المبلغ,unchanged,auto,commissions,
Annual Collection Target,هدف التحصيل السنوي,هدف التحصيل السنوي,unchanged,auto,commissions,
Annual Entitlement,الاستحقاق السنوي,الاستحقاق السنوي,unchanged,auto,annual_leave,
Annual Leave,الإجازة السنوية,الإجازة السنوية,unchanged,auto,"annual_leave,leave_types",
Annual Leave Approval,اعتماد الإجازة السنوية,اعتماد الإجازة السنوية,unchanged,auto,annual_leave,
Annual Leave Balance,رصيد الإجازة السنوية,رصيد الإجازة السنوية,unchanged,auto,annual_leave,
Annual Leave Dashboard,لوحة الإجازات السنوية,لوحة الإجازات السنوية,unchanged,auto,"annual_leave,unpaid_leave",
Annual Leave — Approval Report,الإجازة السنوية — تقرير الاعتماد,الإجازة السنوية — تقرير الاعتماد,unchanged,auto,unpaid_leave,
Annual Portion (Days),الجزء السنوي (أيام),الجزء السنوي (أيام),unchanged,auto,annual_leave,
Annual Sales Target,هدف المبيعات السنوي,هدف المبيعات السنوي,unchanged,auto,commissions,
Annual Vacation Balance,رصيد الإجازة السنوية,رصيد الإجازة السنوية,unchanged,auto,deduction,
Annual Vacation Report,تقرير الإجازة السنوية,تقرير الإجازة السنوية,unchanged,auto,payroll,
Applies To,ينطبق على,ينطبق على,unchanged,auto,commissions,
Apply Opening Balances,تطبيق الأرصدة الافتتاحية,تطبيق الأرصدة الافتتاحية,unchanged,auto,annual_leave,
Apply Override,تطبيق التجاوز,تطبيق التجاوز,unchanged,auto,commissions,
Apply Template,تطبيق القالب,تطبيق القالب,unchanged,auto,commissions,
Approval Confirmations,تأكيدات الاعتماد,تأكيدات الاعتماد,unchanged,auto,deduction,
Approval Progress,تقدم الاعتماد,تقدم الاعتماد,unchanged,auto,annual_leave,
Approval State,حالة الاعتماد,حالة الاعتماد,unchanged,auto,deduction,
Approval Steps,خطوات الاعتماد,خطوات الاعتماد,unchanged,auto,unpaid_leave,
Article 84 — Termination by Employer,المادة 84 — إنهاء العقد من قبل صاحب العمل,المادة 84 — إنهاء العقد من قبل صاحب العمل,unchanged,auto,eos_leave,
Article 85 — Resignation,المادة 85 — الاستقالة,المادة 85 — الاستقالة,unchanged,auto,eos_leave,
Attendance Issue Hours,ساعات مشكلة الحضور,ساعات مشكلة الحضور,unchanged,auto,attendance_leave,
Attendance Issues,مشكلات الحضور,مشكلات الحضور,unchanged,auto,attendance_leave,
Attendance Lines,بنود الحضور,بنود الحضور,unchanged,auto,working_schedule,
Attendance Records,سجلات الحضور,سجلات الحضور,unchanged,auto,attendance_leave,
Attendance Tracking,تتبع الحضور,تتبع الحضور,unchanged,auto,attendance_leave,
Attended,حضر,حضر,unchanged,auto,attendance_sheet,
Attended Workdays in Period,أيام العمل المحضورة خلال الفترة,أيام العمل المحضورة خلال الفترة,unchanged,auto,annual_leave,
Available Balance,الرصيد المتاح,الرصيد المتاح,unchanged,auto,annual_leave,
Awaiting Accountant,بانتظار المحاسب,بانتظار المحاسب,unchanged,auto,commissions,
Awaiting Commission,بانتظار العمولة,بانتظار العمولة,unchanged,auto,commissions,
Awaiting Sheet,كشف بانتظار التسوية,كشف بانتظار التسوية,unchanged,auto,commissions,
Balance at Request,الرصيد عند الطلب,الرصيد عند الطلب,unchanged,auto,annual_leave,
Balance at Request (Days),الرصيد عند الطلب (أيام),الرصيد عند الطلب (أيام),unchanged,auto,annual_leave,
Balance Consumed,الرصيد المستهلك,الرصيد المستهلك,unchanged,auto,annual_leave,
Band,الشريحة,الشريحة,unchanged,auto,commissions,
Bank Account Totals,إجماليات الحساب البنكي,إجماليات الحساب البنكي,unchanged,auto,payroll,
Bank Loan,قرض بنكي,قرض بنكي,unchanged,auto,ext_sync,
Bank Loans,قروض بنكية,قروض بنكية,unchanged,auto,ext_sync,
Bank Transfer,التحويل البنكي,التحويل البنكي,unchanged,auto,commissions,
Bank Transfer Amount,مبلغ التحويل البنكي,مبلغ التحويل البنكي,unchanged,auto,commissions,
Bank<br/>Transfer,تحويل<br/>بنكي,تحويل<br/>بنكي,unchanged,auto,commissions,
BAS Accounts,حسابات BAS,حسابات BAS,unchanged,auto,ext_sync,
BAS Accounts (Loans & Advances),حسابات BAS (القروض والسلف),حسابات BAS (القروض والسلف),unchanged,auto,ext_sync,
BAS GL Account (Loans & Advances),حساب BAS العام (القروض والسلف),حساب BAS العام (القروض والسلف),unchanged,auto,ext_sync,
BAS Key,مفتاح BAS,مفتاح BAS,unchanged,auto,ext_sync,
BAS Payment Voucher,سند دفع BAS,سند دفع BAS,unchanged,auto,ext_sync,
BAS Payment Vouchers,سندات دفع BAS,سندات دفع BAS,unchanged,auto,ext_sync,
BAS Sales Invoice,فاتورة مبيعات BAS,فاتورة مبيعات BAS,unchanged,auto,ext_sync,
BAS Sales Invoices,فواتير مبيعات BAS,فواتير مبيعات BAS,unchanged,auto,ext_sync,
BAS Sync,مزامنة BAS,مزامنة BAS,unchanged,auto,ext_sync,
Base,الأساس,الأساس,unchanged,keep-current,commissions,سياق العمولات: «الأساس» لا «قاعدة»
Baseline,خط الأساس,خط الأساس,unchanged,auto,annual_leave,
Batch,الدفعة,الدفعة,unchanged,auto,commissions,
Bonus,مكافأة,مكافأة,unchanged,auto,commissions,
Both,كلاهما,كلاهما,unchanged,auto,commissions,
Branch,الفرع,الفرع,unchanged,auto,ext_sync,
Break,استراحة,استراحة,unchanged,keep-current,working_schedule,الأساسي «فاصل» — المصطلح الوظيفي «استراحة»
Breakfast,الإفطار,الإفطار,unchanged,auto,commissions,
Breakfast (qty),الإفطار (عدد),الإفطار (عدد),unchanged,auto,commissions,
Breakfast (SAR),الإفطار (ريال),الإفطار (ريال),unchanged,auto,commissions,
Breakfast Amount,مبلغ الإفطار,مبلغ الإفطار,unchanged,auto,commissions,
Breakfast Price,سعر الإفطار,سعر الإفطار,unchanged,auto,commissions,
Breakfast Qty,عدد الإفطار,عدد الإفطار,unchanged,auto,commissions,
Bulk Opening Balance Setup,إعداد الأرصدة الافتتاحية دفعة واحدة,إعداد الأرصدة الافتتاحية دفعة واحدة,unchanged,auto,annual_leave,
Bulk Opening Balance Wizard,معالج الأرصدة الافتتاحية الجماعي,معالج الأرصدة الافتتاحية الجماعي,unchanged,auto,annual_leave,
By Type,حسب النوع,حسب النوع,unchanged,auto,deduction,
Calendar Group,مجموعة التقويم,مجموعة التقويم,unchanged,auto,working_schedule,
Calendar Groups,مجموعات التقويم,مجموعات التقويم,unchanged,auto,working_schedule,
Check-in Only,تسجيل دخول فقط,تسجيل دخول فقط,unchanged,auto,attendance_leave,
CIC Number (رقم العميل),رقم العميل (CIC),رقم العميل (CIC),unchanged,auto,payroll,
Clear Skip Log,مسح سجل التخطي,مسح سجل التخطي,unchanged,auto,payroll,
Client Account Number,رقم حساب العميل,رقم حساب العميل,unchanged,auto,commissions,
Client Split,تقسيم العميل,تقسيم العميل,unchanged,auto,commissions,
Client Splits,تقسيمات العملاء,تقسيمات العملاء,unchanged,auto,commissions,
Client-specific,خاص بعميل,خاص بعميل,unchanged,auto,commissions,
Clients,العملاء,العملاء,unchanged,auto,commissions,
Close Batch,إقفال الدفعة,إقفال الدفعة,unchanged,auto,commissions,
Close Card - أغلاق البطاقة,إغلاق البطاقة,إغلاق البطاقة,unchanged,auto,payroll,
Coll. %,نسبة التحصيل ٪,نسبة التحصيل ٪,unchanged,auto,commissions,
Coll. Rule,قاعدة التحصيل,قاعدة التحصيل,unchanged,auto,commissions,
Collected On,تاريخ التحصيل,تاريخ التحصيل,unchanged,auto,deduction,
Collection,التحصيل,التحصيل,unchanged,auto,commissions,
Collection %,نسبة التحصيل ٪,نسبة التحصيل ٪,unchanged,auto,commissions,
Collection Commission,عمولة التحصيل,عمولة التحصيل,unchanged,auto,commissions,
Collection Commission Amount,مبلغ عمولة التحصيل,مبلغ عمولة التحصيل,unchanged,auto,commissions,
Collection Commission Rule,قاعدة عمولة التحصيل,قاعدة عمولة التحصيل,unchanged,auto,commissions,
Collection Excel File,ملف Excel للتحصيل,ملف Excel للتحصيل,unchanged,auto,commissions,
Collection File,ملف التحصيل,ملف التحصيل,unchanged,auto,commissions,
Collection File Name,اسم ملف التحصيل,اسم ملف التحصيل,unchanged,auto,commissions,
Collection Manager Options,خيارات مدير التحصيل,خيارات مدير التحصيل,unchanged,auto,commissions,
Collection Min %,الحد الأدنى لنسبة التحصيل ٪,الحد الأدنى لنسبة التحصيل ٪,unchanged,auto,commissions,
Collection Rule,قاعدة التحصيل,قاعدة التحصيل,unchanged,auto,commissions,
Collection Target,هدف التحصيل,هدف التحصيل,unchanged,auto,commissions,
Combined,مشترك,مشترك,unchanged,auto,commissions,
Combined (Sales & Collection),مشترك (مبيعات وتحصيل),مشترك (مبيعات وتحصيل),unchanged,auto,commissions,
Combined Commission,العمولة المشتركة,العمولة المشتركة,unchanged,auto,commissions,
Combined Commission Amount,مبلغ العمولة المشتركة,مبلغ العمولة المشتركة,unchanged,auto,commissions,
Combined Commission Rule,قاعدة العمولة المشتركة,قاعدة العمولة المشتركة,unchanged,auto,commissions,
Combined Rule,القاعدة المشتركة,القاعدة المشتركة,unchanged,auto,commissions,
Commission & Allowance Sheet,كشف العمولات والبدلات,كشف العمولات والبدلات,unchanged,auto,commissions,
Commission &amp; Allowance Sheet,كشف العمولات والبدلات,كشف العمولات والبدلات,unchanged,auto,commissions,
Commission Approval,اعتماد العمولة,اعتماد العمولة,unchanged,auto,commissions,
Commission Batch,دفعة العمولة,دفعة العمولة,unchanged,auto,commissions,
Commission Batches,دفعات العمولات,دفعات العمولات,unchanged,auto,commissions,
Commission Categories,فئات العمولات,فئات العمولات,unchanged,auto,commissions,
Commission Configuration,إعدادات العمولات,إعدادات العمولات,unchanged,auto,commissions,
Commission Import Name,اسم استيراد العمولة,اسم استيراد العمولة,unchanged,auto,commissions,
Commission Lines,بنود العمولات,بنود العمولات,unchanged,auto,annual_leave,
Commission Management,إدارة العمولات,إدارة العمولات,unchanged,auto,commissions,
Commission Rule,قاعدة العمولة,قاعدة العمولة,unchanged,auto,commissions,
Commission Rules,قواعد العمولات,قواعد العمولات,unchanged,auto,commissions,
Commission Sheet,كشف العمولة,كشف العمولة,unchanged,auto,commissions,
Commission Sheets,كشوف العمولات,كشوف العمولات,unchanged,auto,commissions,
Commission Template,قالب العمولة,قالب العمولة,unchanged,auto,commissions,
Commission Templates,قوالب العمولات,قوالب العمولات,unchanged,auto,commissions,
Commission Type,نوع العمولة,نوع العمولة,unchanged,auto,commissions,
Commission —,العمولة —,العمولة —,unchanged,auto,payroll,
Commission — Month / Description,العمولة — الشهر / الوصف,العمولة — الشهر / الوصف,unchanged,auto,unpaid_leave,
Commissions & Allowances Summary,ملخص العمولات والبدلات,ملخص العمولات والبدلات,unchanged,auto,commissions,
Commissions &amp; Allowances Summary,ملخص العمولات والبدلات,ملخص العمولات والبدلات,unchanged,auto,commissions,
Commissions and Other Allowances,العمولات والبدلات الأخرى,العمولات والبدلات الأخرى,unchanged,auto,commissions,
Company Paid (on behalf of employee),دفعته الشركة (نيابة عن الموظف),دفعته الشركة (نيابة عن الموظف),unchanged,auto,deduction,
Company Partner,شريك الشركة,شريك الشركة,unchanged,auto,"commissions,payroll",
Company-Paid,مدفوع من الشركة,مدفوع من الشركة,unchanged,auto,deduction,
Completed,مكتمل,مكتمل,unchanged,auto,deduction,
Computed Amounts,المبالغ المحسوبة,المبالغ المحسوبة,unchanged,auto,commissions,
Condition Formula,صيغة الشرط,صيغة الشرط,unchanged,auto,commissions,
Condition Overridden,تم تجاوز الشرط,تم تجاوز الشرط,unchanged,auto,commissions,
Condition Type,نوع الشرط,نوع الشرط,unchanged,auto,commissions,
Confirm Payment,تأكيد الدفع,تأكيد الدفع,unchanged,auto,deduction,
Confirm Refusal,تأكيد الرفض,تأكيد الرفض,unchanged,auto,deduction,
Confirmed Date,تاريخ التأكيد,تاريخ التأكيد,unchanged,auto,commissions,
Create New Card - أنشاء بطاقة جديدة,إنشاء بطاقة جديدة,إنشاء بطاقة جديدة,unchanged,auto,payroll,
Create New PIN - تجديد الرقم السري,تجديد الرقم السري,تجديد الرقم السري,unchanged,auto,payroll,
Current,الحالي,الحالي,unchanged,auto,base_security,
Current Credit,دائن حالي,دائن حالي,unchanged,auto,ext_sync,
Current Debit,مدين حالي,مدين حالي,unchanged,auto,ext_sync,
Current State Label,تسمية الحالة الحالية,تسمية الحالة الحالية,unchanged,auto,annual_leave,
Current user may delete,يحق للمستخدم الحالي الحذف,يحق للمستخدم الحالي الحذف,unchanged,auto,deduction,
Current user may edit amount,يحق للمستخدم الحالي تعديل المبلغ,يحق للمستخدم الحالي تعديل المبلغ,unchanged,auto,deduction,
Current user may edit installments,يحق للمستخدم الحالي تعديل الأقساط,يحق للمستخدم الحالي تعديل الأقساط,unchanged,auto,deduction,
Custom Formula (advanced),صيغة مخصصة (متقدم),صيغة مخصصة (متقدم),unchanged,auto,commissions,
DA,بدل الغلاء,بدل الغلاء,unchanged,auto,base_security,
Daily Attendance,الحضور اليومي,الحضور اليومي,unchanged,auto,attendance_sheet,
Daily Wage,الأجر اليومي,الأجر اليومي,unchanged,auto,payroll,
Data Entry Allowance,بدل إدخال البيانات,بدل إدخال البيانات,unchanged,auto,commissions,
Day of Week,يوم الأسبوع,يوم الأسبوع,unchanged,keep-current,working_schedule,الأساسي «اليوم من الأسبوع» — ركيكة
days consumed from balance,أيام مستهلكة من الرصيد,أيام مستهلكة من الرصيد,unchanged,auto,payroll,
Days Taken (All Time),الأيام المأخوذة (الإجمالي الكلي),الأيام المأخوذة (الإجمالي الكلي),unchanged,auto,annual_leave,
"Days, Trips, Hours…",أيام، رحلات، ساعات…,أيام، رحلات، ساعات…,unchanged,auto,commissions,
Dearness allowance,بدل الغلاء المعيشي,بدل الغلاء المعيشي,unchanged,auto,base_security,
Debit Account (IBAN),حساب المدين (IBAN),حساب المدين (IBAN),unchanged,auto,payroll,
Decision Support,دعم القرار,دعم القرار,unchanged,auto,deduction,
Deductible Base,الوعاء الاستقطاعي,الوعاء الاستقطاعي,unchanged,auto,payroll,
Deduction,الخصم,الخصم,unchanged,keep-current,"deduction,payroll",قرار المستخدم رقم 3: «خصم» وليس «الاستقطاعات»
Deduction (SAR),الخصم (ريال),الخصم (ريال),unchanged,auto,payroll,
Deduction Management,إدارة الخصومات,إدارة الخصومات,unchanged,auto,deduction,
Deduction Types,أنواع الخصومات,أنواع الخصومات,unchanged,auto,deduction,
Deductions,الخصومات,الخصومات,unchanged,auto,deduction,
Deductions This Month,خصومات هذا الشهر,خصومات هذا الشهر,unchanged,auto,deduction,
Default Installments,الأقساط الافتراضية,الأقساط الافتراضية,unchanged,auto,deduction,
Default Lines,البنود الافتراضية,البنود الافتراضية,unchanged,auto,commissions,
Default Paying Bank Account,حساب البنك الافتراضي للدفع,حساب البنك الافتراضي للدفع,unchanged,auto,commissions,
Delete only,حذف فقط,حذف فقط,unchanged,auto,deduction,
Depends on Attendance Issue,يعتمد على مشكلة الحضور,يعتمد على مشكلة الحضور,unchanged,auto,attendance_leave,
Description / usage notes…,وصف / ملاحظات الاستخدام…,وصف / ملاحظات الاستخدام…,unchanged,auto,commissions,
Dinner,العشاء,العشاء,unchanged,auto,commissions,
Dinner (qty),العشاء (عدد),العشاء (عدد),unchanged,auto,commissions,
Dinner (SAR),العشاء (ريال),العشاء (ريال),unchanged,auto,commissions,
Dinner Amount,مبلغ العشاء,مبلغ العشاء,unchanged,auto,commissions,
Dinner Price,سعر العشاء,سعر العشاء,unchanged,auto,commissions,
Dinner Qty,عدد العشاء,عدد العشاء,unchanged,auto,commissions,
Direct Manager,المدير المباشر,المدير المباشر,unchanged,auto,"annual_leave,unpaid_leave",
Disbursement Confirmed Date,تاريخ تأكيد صرف القرض,تاريخ تأكيد صرف القرض,unchanged,auto,deduction,
DM,المدير المباشر,المدير المباشر,unchanged,auto,"annual_leave,deduction",
DM Approval,اعتماد المدير المباشر,اعتماد المدير المباشر,unchanged,auto,deduction,
DM Approved By,اعتمده المدير المباشر,اعتمده المدير المباشر,unchanged,auto,annual_leave,
Dm Approved By,اعتمده المدير المباشر,اعتمده المدير المباشر,unchanged,auto,deduction,
